zeit,station,gemessen_kn,grad,arome_kn
2026-08-16T09:00+02:00,Cullera Faro,8,256,5.6
2026-08-16T09:05+02:00,Cullera San Antonio,5,321,5.6
2026-08-16T09:10+02:00,Cullera Faro,8,285,5.6
2026-08-16T09:10+02:00,Cullera San Antonio,5,355,5.6
2026-08-16T09:15+02:00,Cullera San Antonio,6,250,5.6
2026-08-16T09:30+02:00,Cullera Faro,13,262,5.6
2026-08-16T09:25+02:00,Cullera San Antonio,5,350,5.6
2026-08-16T09:40+02:00,Cullera Faro,7,264,5.6
2026-08-16T09:45+02:00,Cullera San Antonio,6,78,5.6
2026-08-16T10:30+02:00,Cullera Faro,8,264,5.2
2026-08-16T10:25+02:00,Cullera San Antonio,2,263,5.2
2026-08-16T11:10+02:00,Cullera Faro,3,271,4.3
2026-08-16T11:20+02:00,Cullera San Antonio,2,294,4.3
2026-08-16T12:10+02:00,Cullera Faro,5,82,2.6
2026-08-16T12:20+02:00,Cullera San Antonio,4,86,2.6
2026-08-16T12:40+02:00,Cullera Faro,5,71,2.6
2026-08-16T12:45+02:00,Cullera San Antonio,3,112,2.6
2026-08-16T13:10+02:00,Cullera Faro,4,84,6.5
2026-08-16T13:15+02:00,Cullera San Antonio,3,146,6.5
2026-08-16T13:40+02:00,Cullera Faro,5,87,6.5
2026-08-16T13:40+02:00,Cullera San Antonio,3,100,6.5
2026-08-16T14:40+02:00,Cullera Faro,3,139,6.3
2026-08-16T14:40+02:00,Cullera San Antonio,4,97,6.3
2026-08-16T15:30+02:00,Cullera Faro,2,61,5.6
2026-08-16T15:25+02:00,Cullera San Antonio,5,91,5.6
2026-08-16T16:10+02:00,Cullera Faro,7,109,7.0
2026-08-16T16:20+02:00,Cullera San Antonio,3,88,7.0
2026-08-16T16:40+02:00,Cullera Faro,1,23,7.0
2026-08-16T16:50+02:00,Cullera San Antonio,3,110,7.0
2026-08-16T17:10+02:00,Cullera Faro,7,132,7.7
2026-08-16T17:15+02:00,Cullera San Antonio,4,143,7.7
2026-08-16T17:40+02:00,Cullera Faro,6,103,7.7
2026-08-16T17:40+02:00,Cullera San Antonio,4,120,7.7
2026-08-16T18:10+02:00,Cullera Faro,3,103,8.4
2026-08-16T18:20+02:00,Cullera San Antonio,3,117,8.4
2026-08-16T19:10+02:00,Cullera Faro,4,107,8.5
2026-08-16T19:15+02:00,Cullera San Antonio,3,132,8.5
2026-08-16T19:30+02:00,Cullera Faro,4,90,8.5
2026-08-16T19:35+02:00,Cullera San Antonio,3,119,8.5
2026-08-16T20:30+02:00,Cullera Faro,2,300,9.3
2026-08-16T20:25+02:00,Cullera San Antonio,2,186,9.3
2026-08-16T21:10+02:00,Cullera Faro,2,153,6.6
2026-08-16T21:15+02:00,Cullera San Antonio,1,159,6.6
2026-08-16T21:30+02:00,Cullera Faro,1,96,6.6
2026-08-16T21:35+02:00,Cullera San Antonio,1,148,6.6
2026-08-17T07:30+02:00,Cullera Faro,6,275,4.3
2026-08-17T07:35+02:00,Cullera San Antonio,2,259,4.3
